,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
354,77.0,78,0,16.11,-21.64,-41.05
355,76.69,85,8,2.62,-2.54,115.51
356,75.16,95,0,3.4,6.87,101.37
357,36.19,62,0,8.21,40.29,97.04
358,75.31,57,75,18.34,26.12,127.67
359,71.02,96,0,6.64,12.35,29.25
360,51.06,87,0,4.74,44.65,-1.18
361,55.4,27,0,11.41,-28.7,26.46
362,50.61,81,20,3.36,44.83,-0.61
363,54.43,82,40,5.82,53.41,-2.98
364,62.83,75,0,2.62,25.1,117.03
365,37.81,73,0,4.29,50.36,108.75
366,59.0,72,75,4.7,-0.39,-78.55
367,59.0,87,0,3.36,39.45,22.34
368,54.21,76,90,3.36,45.6,-0.6
369,86.0,51,20,19.46,38.4,-96.18
370,25.75,95,44,1.72,34.03,75.33
371,69.8,94,75,3.36,-27.6,-48.55
372,50.0,66,40,11.41,49.72,-86.95
373,73.54,100,48,7.65,33.72,135.99
374,83.89,61,40,17.22,20.89,-156.47
375,49.44,81,0,2.24,43.19,-0.61
376,87.28,55,40,10.29,29.74,-97.91
377,69.8,68,75,2.24,5.5,-75.6
378,48.7,96,88,7.2,51.92,34.56
379,77.41,100,48,6.64,6.12,81.12
380,65.8,97,64,1.61,-7.38,108.21
381,69.8,88,40,17.72,38.73,-27.07
382,49.66,75,90,4.7,47.1,6.83
383,44.29,80,24,5.64,-41.87,-73.83
384,56.8,91,92,4.18,47.26,35.7
385,33.13,96,56,17.38,67.47,86.57
386,48.54,76,75,10.29,49.5,11.75
387,42.8,93,0,4.7,57.91,26.05
388,82.4,21,0,8.05,27.87,-0.29
389,34.03,59,0,6.87,45.76,106.27
390,78.8,29,40,3.36,23.99,-104.67
391,84.2,79,40,18.34,12.15,-68.27
392,58.69,89,0,6.2,39.62,125.66
393,56.71,83,36,2.39,-14.38,34.33
394,45.79,100,75,8.95,55.75,37.62
395,58.15,75,0,22.3,-26.65,15.16
396,49.6,61,0,5.97,41.42,-6.55
397,77.95,32,48,10.56,29.03,21.55
398,64.4,68,0,4.7,38.17,13.24
399,57.2,58,75,11.41,-32.03,-52.1
400,41.0,80,88,4.7,61.99,5.14
401,26.6,49,0,9.17,69.22,-51.1
402,59.5,88,92,12.68,-34.0,24.73
403,84.88,65,20,5.82,21.39,-158.15
404,57.79,62,92,2.73,27.21,108.59
405,74.82,74,75,2.24,4.71,-75.1
406,50.0,61,0,4.7,38.55,-2.07
407,44.2,66,20,5.64,53.96,105.89
408,46.18,82,0,2.95,-33.38,-56.52
409,40.87,100,80,9.89,64.25,-15.21
410,35.65,81,20,2.51,55.93,110.1
411,66.2,68,0,9.17,-18.48,-70.32
412,77.92,69,75,14.99,24.8,125.28
413,60.31,99,20,17.94,43.32,145.57
414,84.2,79,20,19.46,12.52,-70.03
415,29.35,91,0,1.72,42.49,78.39
416,69.49,97,36,1.95,-2.97,119.9
417,72.55,98,48,1.39,-23.78,-45.36
418,71.6,46,68,12.75,-25.24,130.99
419,51.94,80,0,2.62,14.4,46.47
420,78.76,80,64,10.45,7.87,9.78
421,46.09,64,0,4.18,49.8,129.88
422,73.4,94,20,3.96,-0.72,8.78
423,37.9,97,68,6.2,61.99,-49.67
424,39.2,100,90,6.71,60.73,77.6
425,71.65,97,56,2.62,18.55,77.6
426,36.82,70,0,7.99,37.93,102.64
427,24.94,100,64,8.99,71.64,128.87
428,69.8,88,75,13.87,37.72,-25.43
429,48.92,63,75,1.83,61.13,-146.35
430,67.93,70,75,11.41,35.27,-106.63
431,75.52,54,44,3.29,-13.79,-47.46
432,62.11,100,48,5.3,45.9,34.18
433,37.4,64,75,18.34,71.03,27.85
434,44.92,80,0,2.51,30.78,78.62
435,52.48,81,64,2.17,9.01,37.45
436,79.12,100,64,7.87,20.35,-74.5
437,77.0,94,75,2.24,10.35,107.08
438,62.6,93,40,11.23,37.72,20.83
439,75.2,60,0,3.36,17.01,54.1
440,69.76,80,36,2.62,29.68,76.99
441,77.32,39,1,10.29,36.97,-122.03
442,75.88,100,64,27.22,-16.7,-151.02
443,32.0,60,75,10.29,60.82,-115.79
444,60.49,94,92,2.73,22.76,100.79
445,86.0,58,40,13.87,16.38,-93.6
446,71.38,51,100,4.74,-3.28,30.97
447,66.54,31,0,10.29,-33.44,-70.65
448,35.6,93,88,8.05,65.58,22.15
449,68.68,100,24,2.17,1.74,98.78
450,34.84,98,76,3.51,36.62,101.77
451,32.77,95,80,10.67,69.41,86.18
452,73.04,83,1,4.7,40.33,-91.2
453,49.24,88,100,10.45,54.18,45.4
454,35.6,74,75,18.34,69.43,30.82
455,71.11,57,32,10.67,-14.25,31.33
456,73.71,26,20,16.11,43.97,-111.68
457,64.0,92,0,2.95,30.1,115.95
458,43.57,81,0,2.84,-33.52,-56.9
459,70.3,71,8,6.64,-20.78,165.23
460,74.89,80,12,2.95,10.3,22.78
461,57.02,7,1,5.75,64.86,-147.8
462,42.4,63,0,11.45,49.2,119.7
463,31.42,63,0,6.64,60.35,102.28
464,56.08,100,12,9.44,-39.19,173.88
465,41.77,94,92,2.17,63.44,-20.27
466,83.44,100,44,8.43,9.67,80.01
467,1.09,74,36,1.72,34.16,77.58
468,78.94,66,0,2.73,13.21,12.02
469,60.94,98,48,6.76,45.43,40.58
470,78.75,57,90,4.7,38.34,-122.7
471,80.6,61,0,17.22,-2.76,-42.27
472,53.6,93,75,5.82,51.71,-8.52
473,37.4,64,75,18.34,70.86,29.09
474,57.25,93,24,2.73,44.16,45.87
475,36.46,99,92,6.42,52.47,96.11
476,83.17,66,12,8.77,22.87,89.53
477,56.62,93,56,6.42,-37.83,140.78
478,25.75,93,44,4.29,64.92,77.78
479,48.34,39,0,5.75,-20.08,30.83
480,75.52,100,48,4.52,9.18,105.15
481,65.57,88,0,5.82,36.85,28.27
482,78.4,61,0,2.95,13.98,10.27
483,73.4,83,0,6.93,-9.42,-36.08
484,59.0,87,75,8.05,51.04,-4.21
485,54.66,100,90,4.7,44.08,-80.2
486,71.74,97,0,14.81,-23.87,35.38
487,59.0,54,20,10.29,48.94,-125.55
488,39.97,86,0,2.73,37.81,-2.54
489,55.0,91,92,2.95,30.29,109.48
490,66.22,70,90,3.36,41.33,-89.13
491,78.94,96,0,13.47,14.9,-24.5
492,86.59,73,1,3.96,32.46,-86.46
493,77.0,51,75,8.05,39.15,-123.21
494,46.63,44,36,9.66,50.14,48.57
495,54.72,84,90,4.85,44.76,-85.62
496,33.67,74,24,8.99,55.93,158.7
497,75.2,78,20,2.24,-15.72,46.32
498,51.1,87,0,5.82,45.56,10.07
499,46.27,42,0,6.31,-40.81,-62.99
